article,reason,comment
Mary Ellen Pleasant,copyright,content was: '{{copyvio|url=http://www.aaregistry.com/african_american_history/1088/San_Franciscos_finest_Mary_Ellen_Pleasant}}'
Ritz-Carlton,copyright,Copyvio from Ritz-Carlton's website.  content was: ' {{copyvio|url=[http://www.ritzcarlton.com/corporate/about_us/history.asp http://www.ritzcarlton.com/corporate/about_us/history.asp]}} [[User:Cursive|...'
Bob Herbert,copyright,yep copyvio
Kim Chizevsky,copyright,content was: '{{copyvio|url=http://www.bodybuildbid.com/articles/msolympia/kim-chizevsky.html}}'
Jimbei,copyright,content was: '{{copyvio|url=http://hanami.ath.cx/jimbei.html}}'
Altered Images,copyright,blatant copyvio of http://notsorted.tripod.com/AI.history.html -- author requested immediate deletion
University of the philippines,copyright,"content was: '::''This is a duplicate article. For the article on the Philippine state university, see [[University_of_the_Philippines]] {{copyvio|url=[http://www...'"
Thomas Menino,copyright,"copyvio, and current revision is a copy-paste from the /temp page, so also deleting to make way for move"
Sandara Park,copyright,copyvio (started by 222.126.4.218 and originated at http://scq.sphosting.com/; needs to be rewritten in order to return to WP)
Ritz process,copyright,copyvio (http://www.schiaffino.net/node12.html)
Sakthan Thampuran,copyright,"deleting copyvio revisions, back  in a minute"
Carrier Corporation,copyright,"content was: '{{copyvio|url=http://www.global.carrier.com/details/0,2806,CLI1_DIV28_ETI23,00.html?SMSESSION=NO}}"
Cyrus Cylinder,copyright,Probable copyvio from http://www.iranchamber.com/history/cyrus/cyrus_charter.php; was listed on the 11th
Anneliese Michel,copyright,"content was: '{{copyvio|url=http://virginiaghosts.com/exorcism_of_emily_rose.php}}', already rewritten on/Temp"
Benjamin Franklin Ficklin,copyright,content was: '{{copyvio|url=http://www.vmi.edu/archives/Alumni/FicklinB1849/FicklinB1849.asp}}'
J. W. Spear & Sons,copyright,content was: '{{copyvio|url=http://www.spearsgamesarchive.org/content.asp?p=2}}'
A Fish Called Selma,copyright,Listed on WP:CP since September 20.  content was: '{{copyvio|url=http://www.lardlad.com/assets/episodes/season7.shtml#3f15}}'
Openbc,copyright,copyvio ad; content was: '{{db|advertisment}}openBC is Europe's foremost online networking platform for professional and secure contact management and networking. Innovative ...'
Amapola,copyright,"copyvio, followed up but not confirmed (says [[User:Ngb]])"
Filthy Rich: Cattle Drive,copyright,speedy delete: blatant copyvio
Whitefriars College,copyright,copyvio from http://www.whitefriars.vic.edu.au/about
Penn State Harrisburg,copyright,content was: '{{copyvio|url=http://www.hbg.psu.edu/hbg/aboutpsh.html}}'
Erattupetta,copyright,criteria A8
California Space Authority,copyright,"copyvivo processing. possible recovery of article may be needed, as user may provide proof of copyright ownership"
Ebbe Grims-land,copyright,content was: '{{db-copyvio|url=http://hitfacts.stim.se/Avd/mic/prod/personer.nsf/a7137b1c99bbacbe4125656a00368f66/bcb198915acc69e141256492002d24e3!OpenDocument}}'
Canon PowerShot A410,copyright,content was: '{{copyvio|url=http://web.canon.jp/Imaging/psa410/overview-e.html}}'
Kurbaan,copyright,content was: '{{copyvio|url=http://www.bollywoodflix.com/mov_1552.asp}}'
MNREC,copyright,content was: '{{copyvio|url=http://www.mnnit.ac.in/oldsite/about/college_prof.html}}'
Rahanweyn Resistance Army,copyright,content was: '{{copyvio|url=http://www.db.idpproject.org/Sites/IdpProjectDb/idpSurvey.nsf/wViewCountries/5ED0573EF259E997C1256D44004F6C12}}'
Royal Gibraltar Police,copyright,content was: '{{copyvio|url=http://www.gibraltar.gov.gi/judiciary/police_index.htm}}'
Salahuddin Ayyubi,copyright,content was: '{{copyvio|url=http://www.famousmuslims.com/Saladin%20Ayyubi.htm}}'
Paul Vallely,copyright,content was: '{{copyvio|url=[http://www.commissionforafrica.org/english/about/secretariat-vallely.html http://www.commissionforafrica.org/english/about/secretariat-...'
Aryan Language,copyright,content was: '{{db-copyvio|url=http://www.cais-soas.com/CAIS/Languages/aryan/aryan_language.htm}}'
Albert M. Wolters,copyright,"Ditching copyvios, leaving Snowspinner's rewrite"
Customer satisfaction,copyright,A8
Myla Goldberg,copyright,removing copyvio revisions (will undelete non-copyvio revisions)
Valbonne,copyright,"deleting to remove copyvio edits, will undelete shortly"
Historical Association,copyright,"deleting to remove copyvio edits, will undelete shortly"
Fuad Khan,copyright,content was: '{{copyvio|url=http://www.nalis.gov.tt/govbios/DrFuadKhan.htm}}'
Danny Hutton,copyright,"copyvio from http://fox97.com/p/music/biography.cgi?artist_id=88942, listed for 7 days"
Giacomo Marini,copyright,content was: '{{copyvio|url=[http://www.ecrio.com/manage.html]}}'
Ryan Malgarini,copyright,"content was: '{{copyvio|url=http://www.ryanmalgarini.com/}} [[User:71.98.119.42|71.98.119.42]] 09:33, 9 October 2005 (UTC)'"
T-Effect,copyright,content was: '{{copyvio|url=http://music.download.com/teffect/3600-8539_32-100736841.html}}'
Shivalli,copyright,content was: '{{copyvio|url=http://www.kakkilaya.com/shiva1.html}}'
2197,copyright,copyvio
Extinction of Mankind,copyright,yep copyvio
Oliver Ernest Goonetilleke,copyright,copyvio - listed on WP:CP for more than 7 days
